Designator,Mid X,Mid Y,Rotation,Layer
C1,52.075,-58.075,180.0,top
C10,65.7,-17.35,90.0,top
C11,20.8,-47.45,180.0,top
C12,42.15,-101.05,90.0,top
C13,54.75,-100.95,90.0,top
C14,67.25,-101.15,90.0,top
C15,95.75,-101.15,90.0,top
C16,110.45,-101.15,90.0,top
C17,124.55,-101.05,90.0,top
C18,20.8,-49.5,180.0,top
C2,56.775,-58.075,0.0,top
C3,28.675,-48.9875,90.0,top
C4,28.675,-53.2875,270.0,top
C5,65.2,-48.95,90.0,top
C6,65.2,-53.45,270.0,top
C7,41.3,-21.55,270.0,top
C8,41.3,-17.5,90.0,top
C9,65.7,-21.4,270.0,top
D1,26.05,-76.93,180.0,top
D10,105.15,-76.97,180.0,top
D11,113.05,-77.07,180.0,top
D12,120.65,-77.17,180.0,top
D13,143.51,-93.765,0.0,top
D14,15.35,-91.23,180.0,top
D15,26.25,-91.13,180.0,top
D16,34.05,-91.17,180.0,top
D17,41.55,-91.17,180.0,top
D18,52.65,-91.17,180.0,top
D19,60.55,-91.17,180.0,top
D2,33.95,-77.03,180.0,top
D20,67.95,-91.17,180.0,top
D21,79.05,-91.07,180.0,top
D22,86.85,-91.17,180.0,top
D23,94.25,-91.17,180.0,top
D24,105.25,-91.17,180.0,top
D25,113.05,-91.27,180.0,top
D26,120.65,-91.3,180.0,top
D27,163.9,-66.66,180.0,top
D3,41.45,-77.03,180.0,top
D4,52.55,-77.03,180.0,top
D5,60.55,-76.93,180.0,top
D6,67.85,-76.93,180.0,top
D7,78.85,-76.87,180.0,top
D8,86.65,-76.97,180.0,top
D9,94.15,-76.97,180.0,top
IMG1,77.86,-30.295,0.0,top
KIKIT_FID_B_1,4.0,-11.0,0.0,bottom
KIKIT_FID_B_2,192.0,-11.0,0.0,bottom
KIKIT_FID_B_3,4.0,-125.0,0.0,bottom
KIKIT_FID_B_4,192.0,-125.0,0.0,bottom
KIKIT_FID_T_1,4.0,-11.0,0.0,top
KIKIT_FID_T_2,192.0,-11.0,0.0,top
KIKIT_FID_T_3,4.0,-125.0,0.0,top
KIKIT_FID_T_4,192.0,-125.0,0.0,top
KIKIT_TO_1,3.0,-3.0,0.0,top
KIKIT_TO_2,193.0,-3.0,0.0,top
KIKIT_TO_3,3.0,-133.0,0.0,top
KIKIT_TO_4,193.0,-133.0,0.0,top
R1,54.345,-48.175,0.0,top
R10,67.85,-72.2,90.0,top
R11,37.75,-115.25,270.0,top
R12,78.85,-72.1,90.0,top
R13,86.65,-72.2,90.0,top
R14,48.95,-115.15,270.0,top
R15,94.15,-72.2,90.0,top
R16,105.15,-72.2,90.0,top
R17,113.05,-72.3,90.0,top
R18,56.55,-115.15,270.0,top
R19,120.65,-72.4,90.0,top
R20,64.25,-115.25,270.0,top
R21,143.51,-98.635,270.0,top
R22,15.45,-86.4,90.0,top
R23,75.25,-115.15,270.0,top
R24,82.85,-115.15,270.0,top
R25,90.55,-115.05,270.0,top
R26,26.35,-86.36,90.0,top
R27,34.05,-86.4,90.0,top
R28,101.45,-115.17,270.0,top
R29,41.55,-86.4,90.0,top
R3,26.05,-72.2,90.0,top
R30,52.65,-86.4,90.0,top
R31,60.45,-86.4,90.0,top
R32,109.15,-115.17,270.0,top
R33,67.95,-86.3,90.0,top
R34,78.95,-86.3,90.0,top
R35,116.75,-115.27,270.0,top
R36,86.75,-86.4,90.0,top
R37,94.25,-86.4,90.0,top
R38,105.25,-86.4,90.0,top
R39,113.05,-86.5,90.0,top
R4,22.65,-115.15,270.0,top
R40,120.65,-86.5,90.0,top
R41,167.5,-77.53,270.0,top
R42,169.4,-77.53,270.0,top
R5,33.95,-72.3,90.0,top
R6,41.45,-72.3,90.0,top
R7,30.15,-115.25,270.0,top
R8,52.55,-72.3,90.0,top
R9,60.55,-72.2,90.0,top
SW1,26.35,-115.91,0.0,top
SW10,105.25,-115.93,0.0,top
SW11,113.1,-116.01,0.0,top
SW12,120.55,-116.01,0.0,top
SW13,140.26,-118.995,90.0,top
SW14,153.41,-95.735,0.0,top
SW15,153.46,-118.995,90.0,top
SW16,172.56,-118.895,90.0,top
SW17,163.8,-78.37,0.0,top
SW18,166.21,-95.895,90.0,top
SW19,177.96,-78.12,0.0,top
SW2,34.05,-115.91,0.0,top
SW20,179.86,-95.995,90.0,top
SW3,41.55,-115.91,0.0,top
SW4,52.65,-115.91,0.0,top
SW5,60.45,-115.91,0.0,top
SW6,67.95,-115.91,0.0,top
SW7,78.95,-115.91,0.0,top
SW8,86.75,-115.91,0.0,top
SW9,94.25,-115.91,0.0,top
U1,45.935,-35.395,0.0,top
U10,100.625,-102.65,270.0,top
U11,59.625,-102.85,270.0,top
U12,115.3625,-102.6375,270.0,top
U2,33.275,-51.1875,0.0,top
U3,69.725,-51.2125,0.0,top
U4,36.725,-19.5625,180.0,top
U5,61.025,-19.425,180.0,top
U6,155.99,-34.09155,180.0,top
U7,72.05,-103.05,270.0,top
U8,47.025,-102.95,270.0,top
U9,129.375,-102.55,270.0,top
Y1,54.365,-53.175,180.0,top
